"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Snap231",7.14080253764742e-18,0.432030947039523,0.654,0.271,1.44701222622887e-13,"5","Snap23"
"Pomp1",7.16134564493195e-18,0.567288794770759,0.929,0.578,1.45117508148901e-13,"5","Pomp"
"Tmed32",7.16977985315569e-18,0.270528589267689,0.693,0.281,1.45288418944347e-13,"5","Tmed3"
"Apaf1",7.77203754657974e-18,0.334734141902905,0.512,0.178,1.57492568843892e-13,"5","Apaf1"
"Gm146361",7.82458189191139e-18,0.422302765705311,0.252,0.055,1.58557327457692e-13,"5","Gm14636"
"Pqlc1",8.0019902075049e-18,0.371127160560718,0.409,0.132,1.62152329564879e-13,"5","Pqlc1"
"Magt1",8.49414301922092e-18,0.337520204633032,0.614,0.24,1.72125314141493e-13,"5","Magt1"
"Maff",9.09436721556527e-18,0.299948357650795,0.48,0.159,1.84288257256215e-13,"5","Maff"
"Spire1",9.66202272385666e-18,0.301539905970982,0.283,0.069,1.95791228476231e-13,"5","Spire1"
"E230029C05Rik1",1.0073608440104e-17,0.699129669502594,0.457,0.165,2.04131601430267e-13,"5","E230029C05Rik"
"Gpr137b2",1.2626073666132e-17,0.433400181966582,0.449,0.145,2.55854756770498e-13,"5","Gpr137b"
"Grb21",1.43174229034954e-17,0.702262875602078,0.937,0.569,2.9012825771643e-13,"5","Grb2"
"Tns31",1.5587163721006e-17,0.48039943450667,0.551,0.208,3.15858285642466e-13,"5","Tns3"
"Pik3cb",1.58804484905842e-17,0.279691793573799,0.386,0.115,3.21801408213197e-13,"5","Pik3cb"
"Slc6a61",1.59221991086672e-17,0.560346944418326,0.803,0.355,3.22647442738032e-13,"5","Slc6a6"
"Ap1s31",1.84758568083544e-17,0.353602247283536,0.331,0.085,3.74394762364493e-13,"5","Ap1s3"
"Dennd5a",1.9809722212825e-17,0.439477102538287,0.669,0.286,4.01424210920685e-13,"5","Dennd5a"
"Stx111",2.00127645786452e-17,0.288034809043306,0.315,0.079,4.05538661421667e-13,"5","Stx11"
"Adam191",2.00220334396559e-17,0.604437113883346,0.449,0.151,4.05726485621188e-13,"5","Adam19"
"Dennd4a3",2.3187225031925e-17,0.693703324496734,0.992,0.651,4.69865928046928e-13,"5","Dennd4a"
"Gdi22",2.57818224577694e-17,0.614541458288481,0.937,0.558,5.22442850284239e-13,"5","Gdi2"
"Slamf81",2.59681919513501e-17,0.251378753018643,0.362,0.104,5.26219441702158e-13,"5","Slamf8"
"Cd522",3.18294078220185e-17,0.756803370939161,0.992,0.854,6.44991120105384e-13,"5","Cd52"
"Atf31",3.23500831044962e-17,0.797951105911701,0.78,0.382,6.5554208402951e-13,"5","Atf3"
"Ifnar1",3.41514824835849e-17,0.440936558752839,0.543,0.21,6.92045641047365e-13,"5","Ifnar1"
"N4bp2l1",3.98627855971965e-17,0.728981454025809,0.551,0.226,8.07779487341590e-13,"5","N4bp2l1"
"Iqgap22",4.15950122418512e-17,0.540932661138305,0.78,0.377,8.42881328068873e-13,"5","Iqgap2"
"Gab21",5.45698643941441e-17,0.464580647040246,0.819,0.356,1.10580373208294e-12,"5","Gab2"
"5031439G07Rik1",6.1243906149329e-17,0.324270590132367,0.583,0.225,1.24104651421e-12,"5","5031439G07Rik"
