"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Gpm6b",0,0.690911397655009,0.556,0.196,0,"0","Gpm6b"
"Slc16a2",0,0.689042905775857,0.596,0.223,0,"0","Slc16a2"
"Lamc3",0,0.688767744907293,0.33,0.034,0,"0","Lamc3"
"Rbpms",0,0.686131918516469,0.852,0.485,0,"0","Rbpms"
"Phlda3",0,0.686011269631877,0.527,0.111,0,"0","Phlda3"
"Ifitm3",0,0.683066380936261,0.842,0.326,0,"0","Ifitm3"
"Tcf4",0,0.682482692610138,0.936,0.593,0,"0","Tcf4"
"Ccdc80",0,0.676362745315546,0.51,0.109,0,"0","Ccdc80"
"B130024G19Rik",0,0.673718126481335,0.474,0.083,0,"0","B130024G19Rik"
"Col26a1",0,0.673295229955124,0.376,0.015,0,"0","Col26a1"
"Kcnip3",0,0.673128752749969,0.488,0.085,0,"0","Kcnip3"
"Hoxd9",0,0.670190920423154,0.45,0.132,0,"0","Hoxd9"
"Grk5",0,0.660407086230953,0.622,0.275,0,"0","Grk5"
"Col6a4",0,0.650890139927317,0.497,0.114,0,"0","Col6a4"
"Nedd4",0,0.645800411599272,0.955,0.641,0,"0","Nedd4"
"Zdhhc14",0,0.636035931878484,0.494,0.171,0,"0","Zdhhc14"
"Plac8",0,0.624405676272667,0.48,0.073,0,"0","Plac8"
"Gucy1a2",0,0.620875617423801,0.385,0.088,0,"0","Gucy1a2"
"Ust",0,0.614477747507129,0.624,0.279,0,"0","Ust"
"Pmm1",0,0.613559071097994,0.562,0.221,0,"0","Pmm1"
"Creb3l1",0,0.609607469645004,0.487,0.152,0,"0","Creb3l1"
"Trerf1",0,0.608146738946683,0.747,0.388,0,"0","Trerf1"
"Hdgfl3",0,0.60041496445334,0.565,0.233,0,"0","Hdgfl3"
"Atp8b1",0,0.597846703508286,0.398,0.05,0,"0","Atp8b1"
"Rps8",0,0.597458664952616,0.989,0.944,0,"0","Rps8"
"Mamdc2",0,0.596739610918054,0.336,0.034,0,"0","Mamdc2"
"P3h2",0,0.59592304949259,0.517,0.189,0,"0","P3h2"
"Parva",0,0.585835860972915,0.695,0.337,0,"0","Parva"
"Smim41",0,0.585586817276326,0.344,0.067,0,"0","Smim41"
"Snhg18",0,0.583394514587703,0.707,0.349,0,"0","Snhg18"
"Rps16",0,0.57851078901447,0.981,0.897,0,"0","Rps16"
"Rab34",0,0.574869973916393,0.614,0.271,0,"0","Rab34"
"Mrc2",0,0.573785670932228,0.481,0.122,0,"0","Mrc2"
"Tgfbi",0,0.572515264045458,0.409,0.104,0,"0","Tgfbi"
"Runx1t1",0,0.570785647272935,0.382,0.062,0,"0","Runx1t1"
"Twist1",0,0.569385019572627,0.443,0.096,0,"0","Twist1"
"Zfp618",0,0.569363009691536,0.636,0.305,0,"0","Zfp618"
"Nfic",0,0.567255968636458,0.663,0.342,0,"0","Nfic"
"Negr1",0,0.564724629197251,0.233,0.021,0,"0","Negr1"
"Timp2",0,0.562131690346009,0.763,0.36,0,"0","Timp2"
"Plat",0,0.559949387016278,0.456,0.102,0,"0","Plat"
"Phldb2",0,0.559520400329096,0.592,0.246,0,"0","Phldb2"
"Col12a1",0,0.559335158500816,0.313,0.04,0,"0","Col12a1"
"Serpine1",0,0.5567637262355,0.235,0.032,0,"0","Serpine1"
"Actn1",0,0.554823300666004,0.684,0.322,0,"0","Actn1"
"Aox3",0,0.552198695871721,0.189,0.016,0,"0","Aox3"
"Dennd2a",0,0.551210485350627,0.501,0.185,0,"0","Dennd2a"
"Arhgef25",0,0.545967020736927,0.486,0.087,0,"0","Arhgef25"
"Daam2",0,0.543226801250943,0.453,0.142,0,"0","Daam2"
"Gli3",0,0.536430899825602,0.403,0.076,0,"0","Gli3"
"Abca8a",0,0.536133649826058,0.306,0.028,0,"0","Abca8a"
"Gabra3",0,0.535503242905733,0.241,0.02,0,"0","Gabra3"
"Fblim1",0,0.532385291801854,0.392,0.073,0,"0","Fblim1"
"Reck",0,0.530267307312139,0.373,0.081,0,"0","Reck"
"Col11a1",0,0.526526230768483,0.467,0.142,0,"0","Col11a1"
"Scarf2",0,0.519055410534129,0.414,0.042,0,"0","Scarf2"
"Tbc1d16",0,0.517609447804928,0.444,0.144,0,"0","Tbc1d16"
"Ptgis",0,0.517263928743483,0.547,0.211,0,"0","Ptgis"
"Nalcn",0,0.515466379542222,0.267,0.02,0,"0","Nalcn"
"Mill2",0,0.510368054941609,0.408,0.082,0,"0","Mill2"
"Tshz3",0,0.50738108644056,0.429,0.107,0,"0","Tshz3"
"Vstm4",0,0.502488351811453,0.416,0.08,0,"0","Vstm4"
"Mndal",0,0.495572514875821,0.503,0.148,0,"0","Mndal"
"Gas1",0,0.49270583004753,0.347,0.08,0,"0","Gas1"
"Flnc",0,0.489120268038467,0.342,0.037,0,"0","Flnc"
"Loxl1",0,0.488845855981429,0.338,0.062,0,"0","Loxl1"
"Adcy5",0,0.483718407525048,0.327,0.03,0,"0","Adcy5"
"Tcf21",0,0.474932808886286,0.305,0.009,0,"0","Tcf21"
"Srpx2",0,0.468555635647946,0.328,0.025,0,"0","Srpx2"
"Pdgfrb",0,0.46482241725907,0.469,0.051,0,"0","Pdgfrb"
"Igsf10",0,0.463929635715083,0.313,0.041,0,"0","Igsf10"
"Ctsk",0,0.460920805316129,0.347,0.067,0,"0","Ctsk"
"Gnb4",0,0.451818808934423,0.487,0.158,0,"0","Gnb4"
"Pde3a",0,0.449470159654671,0.354,0.064,0,"0","Pde3a"
"Ptprq",0,0.443579461381753,0.21,0.018,0,"0","Ptprq"
"P3h3",0,0.443150438227876,0.45,0.133,0,"0","P3h3"
"Fxyd1",0,0.440343876039078,0.666,0.2,0,"0","Fxyd1"
"Mcc",0,0.437702976876616,0.427,0.116,0,"0","Mcc"
"Ntrk2",0,0.435357999290789,0.243,0.027,0,"0","Ntrk2"
"G0s2",0,0.430848011339211,0.33,0.061,0,"0","G0s2"
"Arhgef40",0,0.428743520082746,0.396,0.097,0,"0","Arhgef40"
"Lgi2",0,0.428195027235619,0.244,0.011,0,"0","Lgi2"
"Itga8",0,0.427874287382573,0.237,0.023,0,"0","Itga8"
"Ramp2",0,0.42700738397287,0.506,0.115,0,"0","Ramp2"
"Tril",0,0.42373565384832,0.401,0.111,0,"0","Tril"
"Afap1l2",0,0.420515325780729,0.412,0.115,0,"0","Afap1l2"
"Pltp",0,0.419247645112531,0.515,0.109,0,"0","Pltp"
"Gucy1a1",0,0.41323563250388,0.461,0.139,0,"0","Gucy1a1"
"Hspg2",0,0.412140381082346,0.648,0.282,0,"0","Hspg2"
"Col16a1",0,0.410199904235511,0.366,0.052,0,"0","Col16a1"
"Cnrip1",0,0.409197766734952,0.365,0.088,0,"0","Cnrip1"
"Lpar1",0,0.407935390996472,0.284,0.051,0,"0","Lpar1"
"Cryab",0,0.402062698780136,0.343,0.055,0,"0","Cryab"
"Ghr",0,0.395957908955145,0.773,0.339,0,"0","Ghr"
"Olfml1",0,0.395639871769564,0.26,0.012,0,"0","Olfml1"
"Lepr",0,0.384808355316996,0.207,0.021,0,"0","Lepr"
"Nnmt",0,0.38271507956539,0.201,0.016,0,"0","Nnmt"
"Fgf2",0,0.378105175256455,0.28,0.02,0,"0","Fgf2"
"Gli1",0,0.377149851085887,0.303,0.026,0,"0","Gli1"
"Tbx2",0,0.376246902625143,0.359,0.076,0,"0","Tbx2"
"Nid2",0,0.371112190488782,0.334,0.052,0,"0","Nid2"
"Hic1",0,0.370845942037084,0.33,0.034,0,"0","Hic1"
"Ptger2",0,0.370794567442381,0.27,0.03,0,"0","Ptger2"
"Itgbl1",0,0.3697959832692,0.149,0.005,0,"0","Itgbl1"
"Cacna1c",0,0.363953386510137,0.604,0.223,0,"0","Cacna1c"
"Atp1a2",0,0.354803612066441,0.272,0.02,0,"0","Atp1a2"
"Pth1r",0,0.348367639092304,0.333,0.042,0,"0","Pth1r"
"Fbln7",0,0.332844901906842,0.252,0.016,0,"0","Fbln7"
"Cap2",0,0.332720093124678,0.291,0.037,0,"0","Cap2"
"Tmem204",0,0.315621398736975,0.299,0.044,0,"0","Tmem204"
"Prtg",0,0.303396578843189,0.212,0.017,0,"0","Prtg"
"Prelp",0,0.301974691629962,0.242,0.026,0,"0","Prelp"
"Snai2",0,0.299593742456692,0.273,0.049,0,"0","Snai2"
"Dnm3os",0,0.293783487412202,0.26,0.022,0,"0","Dnm3os"
"Adgra2",0,0.292695587455809,0.282,0.026,0,"0","Adgra2"
"Clip3",0,0.291739132660721,0.25,0.029,0,"0","Clip3"
"Tmem119",0,0.288892673820701,0.228,0.013,0,"0","Tmem119"
"Ccn4",0,0.261099514347265,0.217,0.013,0,"0","Ccn4"
"Hspb2",0,0.250171088867059,0.238,0.029,0,"0","Hspb2"
"Rgma",6.68796251287272e-308,0.331601744089992,0.278,0.051,1.35524872360853e-303,"0","Rgma"
"Ttc28",1.19257632948709e-306,0.563901449807174,0.753,0.415,2.41663667407263e-302,"0","Ttc28"
"Npr3",7.22323060292757e-306,0.387261702627704,0.223,0.028,1.46371544937724e-301,"0","Npr3"
"Pcsk5",1.12583189709355e-305,0.727251683843164,0.715,0.345,2.28138575627038e-301,"0","Pcsk5"
