"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Pla2g4a",3.00636020522493e-58,0.410074868806037,0.404,0.045,6.0920883198678e-54,"2","Pla2g4a"
"Phyh",3.06803266918605e-58,0.980797665304048,0.55,0.143,6.21706140083861e-54,"2","Phyh"
"Evpl",3.11600779725734e-58,0.414314352921168,0.351,0.026,6.31427820036227e-54,"2","Evpl"
"Pdcd4",3.52290573163351e-58,1.5431195784022,0.743,0.398,7.13881617458215e-54,"2","Pdcd4"
"Mst1r",4.54842975102116e-58,0.382180249537418,0.281,0.004,9.21693804746928e-54,"2","Mst1r"
"Erbb3",6.31083788285463e-58,0.30023189119318,0.278,0.003,1.27882818858166e-53,"2","Erbb3"
"Smpdl3b",7.30995366882084e-58,0.427316566525986,0.404,0.049,1.48128901144986e-53,"2","Smpdl3b"
"Hacd4",8.57707873151326e-58,0.934200086346826,0.594,0.174,1.73805923415385e-53,"2","Hacd4"
"Tmem184a",1.26189843150704e-57,0.291717475590198,0.322,0.017,2.55711098160587e-53,"2","Tmem184a"
"Gm50321",1.61939295229976e-57,0.322744922310025,0.313,0.014,3.28153787854024e-53,"2","Gm50321"
"Adgrg1",1.67691308891275e-57,1.18292304950004,0.658,0.244,3.3980966833728e-53,"2","Adgrg1"
"Ly6e",2.74105535311944e-57,1.53039759477151,0.842,0.672,5.55447456756124e-53,"2","Ly6e"
"Slain1",2.93216485155531e-57,0.389961506468387,0.266,0.001,5.94173885519169e-53,"2","Slain1"
"Sdk1",4.9676568924854e-57,0.925484840925524,0.526,0.111,1.00664599269324e-52,"2","Sdk1"
"Rhox8",5.08257925765306e-57,0.399892363644325,0.295,0.009,1.02993386077082e-52,"2","Rhox8"
"Stard5",5.85680130081944e-57,1.08197501536026,0.561,0.16,1.18682221559805e-52,"2","Stard5"
"Nrgn",1.11326948583112e-56,1.41360943226158,0.541,0.151,2.25592928608818e-52,"2","Nrgn"
"Padi1",1.17572722865464e-56,0.257935425658081,0.263,0.001,2.38249365614577e-52,"2","Padi1"
"Ddo",1.43457312164863e-56,0.391431570577625,0.263,0.001,2.90701897370878e-52,"2","Ddo"
"Qpct",1.62541288422736e-56,0.387307132800847,0.333,0.023,3.29373666859832e-52,"2","Qpct"
"Sox5",2.39232328865833e-56,1.33058224894736,0.722,0.253,4.84780391213724e-52,"2","Sox5"
